Treatment	Week	NND	Time in School	Bearing	Elevation	Speed
Gentamycin	2	1.613226667	58	61.5178	-19.0668	2.865046794
Gentamycin	2	2.148453333	0	55.6718	-18.7607	4.241330353
Gentamycin	2	4.141986667	0	47.5712	-21.5986	2.772774878
Gentamycin	2	4.015946667	33	36.9105	-31.4325	4.024375838
Gentamycin	4	0.402611111	79	115.9464	78.6613	2.050180137
Gentamycin	4	0.220388889	83	116.1017	-69.1513	1.908030557
Gentamycin	4	0.065477778	100	41.3061	70.3551	0.226361207
Gentamycin	4	0.152377778	91	38.1071	18.1175	1.353045207
Gentamycin	4	0.015488889	100	128.5823	53.5943	0.291367868
Gentamycin	4	0.840696333	72	15.3526	49.6795	1.560567184
Gentamycin	4	0.351183556	80	61.152	-26.26	8.427110687
Gentamycin	4	0.527155556	87	94.6204	-17.7124	6.037069617
Gentamycin	4	1.376268556	100	36.2307	44.2517	3.852697726
Gentamycin	4	0.128219333	77	75.1088	53.266	2.013342541
Gentamycin	4	0.111544444	100	117.5452	-71.8112	0.557101882
Gentamycin	4	0.128364667	82	130.7077	-17.3924	2.455136011
Gentamycin	4	0.068783222	90	70.3892	-24.7513	5.909743052
Gentamycin	4	0.281977778	77	158.0945	75.1102	0.654893326
Gentamycin	4	0.800248333	100	96.823	6.3316	2.655120133
Gentamycin	4	0.277511111	88	161.1796	37.9195	1.52718314
Gentamycin	4	0.030325556	100	46.3179	-20.2683	2.304507645
Gentamycin	4	0.087640889	94	152.6912	-58.0637	3.982402223
Gentamycin	4	0.090811889	93	139.4561	5.7604	8.302124942
Gentamycin	4	0.440411111	100	136.2215	34.716	7.938295165
Gentamycin	4	0.123923111	95	63.3733	-44.0683	8.64805254
Gentamycin	4	7.1083	100	59.822	-64.7398	4.281558479
Gentamycin	4	0.060511111	100	79.2234	-16.4913	0.177966078
Gentamycin	4	0.511968111	92	46.4147	12.1498	2.185840808
Gentamycin	4	0.094991556	100	159.8218	-63.0356	3.971608144
