Id	sex	measurement	weight	age	mother
15	male	day8	700	11	Blossom
15	male	day9	773	12	Blossom
15	male	day910	863	13	Blossom
15	male	day911	910	14	Blossom
15	male	day912	1060	15	Blossom
16	male	day1	515	4	Jodie
16	male	day2	592	5	Jodie
16	male	day3	643	6	Jodie
16	male	day4	712	7	Jodie
16	male	day5	753	8	Jodie
16	male	day6	871	9	Jodie
16	male	day7	950	10	Jodie
16	male	day8	920	11	Jodie
16	male	day9	1124	12	Jodie
16	male	day910	1183	13	Jodie
16	male	day911	1297	14	Jodie
16	male	day912	1313	15	Jodie
17	female	day1	340	4	Jodie
17	female	day2	387	5	Jodie
17	female	day3	426	6	Jodie
17	female	day4	474	7	Jodie
17	female	day5	520	8	Jodie
17	female	day6	582	9	Jodie
17	female	day7	616	10	Jodie
17	female	day8	600	11	Jodie
17	female	day9	751	12	Jodie
17	female	day910	786	13	Jodie
17	female	day911	852	14	Jodie
17	female	day912	900	15	Jodie
18	female	day1	452	4	Jodie
18	female	day2	520	5	Jodie
18	female	day3	568	6	Jodie
18	female	day4	645	7	Jodie
18	female	day5	722	8	Jodie
18	female	day6	803	9	Jodie
18	female	day7	890	10	Jodie
18	female	day8	820	11	Jodie
18	female	day9	1013	12	Jodie
18	female	day910	1073	13	Jodie
18	female	day911	1120	14	Jodie
18	female	day912	1197	15	Jodie
19	female	day1	400	4	Jodie
19	female	day2	469	5	Jodie
19	female	day3	519	6	Jodie
19	female	day4	607	7	Jodie
19	female	day5	654	8	Jodie
19	female	day6	725	9	Jodie
19	female	day7	778	10	Jodie
19	female	day8	700	11	Jodie
19	female	day9	889	12	Jodie
19	female	day910	940	13	Jodie
19	female	day911	1029	14	Jodie
19	female	day912	1095	15	Jodie
20	female	day1	250	4	Flor
20	female	day2	290	5	Flor
20	female	day3	320	6	Flor
20	female	day4	350	7	Flor
20	female	day5	380	8	Flor
20	female	day6	430	9	Flor
20	female	day7	400	10	Flor
20	female	day8	550	11	Flor
20	female	day9	610	12	Flor
20	female	day910	660	13	Flor
20	female	day911	730	14	Flor
20	female	day912	700	15	Flor
